,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,City_found
84,19.22,-104.7,86.0,74,40,8.75,MX,1597089322,San Patricio
85,-46.6,168.33,46.99,85,98,8.01,NZ,1597089322,Bluff
86,-0.95,100.35,77.05,77,78,4.72,ID,1597089176,Padang
87,-38.0,-57.56,55.99,37,0,14.99,AR,1597089065,Mar del Plata
88,51.84,37.71,64.92,71,92,4.25,RU,1597089323,Kshenskiy
89,61.28,108.01,54.95,66,0,2.95,RU,1597089109,Yerbogachën
90,4.41,114.01,77.0,94,20,2.24,MY,1597089323,Marabu
91,38.5,38.0,84.2,32,23,4.7,TR,1597089324,Malatya Province
92,44.83,78.82,63.79,38,6,9.78,KZ,1597089324,Tekeli
93,24.34,124.16,85.32,80,100,27.58,JP,1597089324,Ishigaki
94,1.3,124.91,73.4,94,20,1.12,ID,1597089324,Tondano
95,-13.51,28.16,59.27,35,65,7.0,ZM,1597089325,Mpongwe
96,-0.72,8.78,77.0,83,75,15.12,GA,1597089325,Port-Gentil
97,41.37,-73.41,91.99,46,20,8.05,US,1597089324,Bethel
98,64.25,-15.21,51.8,100,90,6.93,IS,1597089326,Hofn
99,48.92,2.33,87.01,37,16,4.7,FR,1597089326,Arrondissement de Saint-Denis
100,61.95,159.23,54.18,84,23,3.29,RU,1597089326,Evensk
101,36.96,36.2,82.0,77,89,4.83,TR,1597089327,Erzin
102,-30.18,-50.21,73.67,61,0,4.38,BR,1597089327,Cidreira
103,-20.41,57.7,66.2,68,40,6.93,MU,1597089327,Mahébourg
104,71.92,114.08,40.28,71,24,6.08,RU,1597089327,Saskylakh
105,-22.97,-42.03,77.0,65,5,16.11,BR,1597089328,Arraial do Cabo
106,38.52,-28.7,75.2,60,20,17.22,PT,1597089328,Ribeira Grande
107,-16.1,167.42,68.0,100,75,5.82,VU,1597089328,Lakatoro
108,45.75,1.33,86.0,40,34,4.7,FR,1597089328,Arrondissement de Limoges
109,-20.32,118.57,66.2,77,90,10.29,AU,1597089329,Port Hedland
110,50.1,-91.92,77.0,33,20,13.87,CA,1597089093,Sioux Lookout
111,54.43,113.6,54.34,85,91,3.42,RU,1597089329,Bagdarin
112,5.41,100.34,82.4,88,40,3.36,MY,1597089059,George Town
113,31.81,121.66,82.99,90,100,1.99,CN,1597089330,Huilong
114,78.22,15.64,48.2,81,75,11.41,SJ,1597089330,Longyearbyen
115,37.73,-25.67,75.2,69,40,14.99,PT,1597089195,Ponta Delgada
116,42.43,130.64,69.85,94,96,3.38,RU,1597089330,Khasan
117,3.87,-67.92,80.04,82,90,3.74,CO,1597089331,Inírida
118,-40.81,-63.0,44.01,61,100,13.0,AR,1597089300,Viedma
119,66.94,-53.67,43.56,73,100,13.22,GL,1597089331,Sisimiut
120,-19.7,-46.17,68.54,50,86,5.12,BR,1597089188,Campos Altos
121,71.97,102.5,40.12,81,0,4.72,RU,1597089081,Khatanga
122,45.02,-93.22,78.8,44,1,5.82,US,1597089332,Saint Anthony
123,41.28,-70.1,78.8,78,40,14.99,US,1597089117,Nantucket
124,27.2,60.68,100.4,42,46,4.7,IR,1597089332,Iranshahr
125,49.22,143.12,58.87,97,100,5.44,RU,1597089333,Poronaysk
